repo_url,description,topics,llm_output
https://github.com/byui-cse/cse212-ww-student-template,,,"```json
{
  ""category"": ""Education"",
  ""reasoning"": ""This is explicitly a student template repository for CSE 212 at BYU-Idaho, designed for class assignments and student learning. The README emphasizes academic integrity and learning course concepts, making it clearly educational in purpose rather than focused on any specific technical domain like web development, data science, or automation."",
  ""confidence"": ""5""
}
```"
https://github.com/proudmonkey/MvcBoilerPlate,A simple project template designed for small standalone projects or PoC's using .NET Core 3.x,,"```json
{
  ""category"": ""Web Development"",
  ""reasoning"": ""This is an ASP.NET Core MVC project template that provides a scaffolded structure for web applications, including preconfigured middlewares, data access with Dapper, model validation, and logging. It specifically targets web UI generation and API development, which aligns with the Web Development category definition of supporting creation of web-based systems and APIs with defined structure, routing, and database configuration."",
  ""confidence"": ""5""
}
```"
https://github.com/bnayae/Bnaya.Dotnet.Template,,,"```json
{
  ""category"": ""Plugin/Extensibility Frameworks"",
  ""reasoning"": ""This is a .NET CLI template repository designed to help developers create custom project templates for the 'dotnet new' command. It provides scaffolding, configuration files, and installation/uninstallation workflows specifically for extending the .NET ecosystem with reusable project structures. The template focuses on defining registration mechanisms, configuration files, and integration points for creating new .NET project templates, which aligns with the Plugin/Extensibility Frameworks category that serves as minimal scaffolds for extending host platform functionality."",
  ""confidence"": ""5""
}
```"
https://github.com/Infinite-Solutions-Intl/MAUI-Starter-Kit,This repository serves as a starter kit for .NET MAUI projects using .NET 8. It provides a basic setup and structure to kickstart your .NET MAUI development journey.,,"```json
{
  ""category"": ""Mobile Development"",
  ""reasoning"": ""The repository is specifically designed as a starter kit for .NET MAUI (Multi-platform App UI) projects using .NET 8, which is Microsoft's framework for building native mobile and desktop applications that can run on Android, iOS, macOS, and Windows from a single codebase. The template provides boilerplate code, basic project structure, and ready-to-use UI components specifically tailored for cross-platform mobile app development."",
  ""confidence"": ""5""
}
```"
https://github.com/joachimbulow/dotnet-graphql-starterpack,Complete starter pack asp.net core project exposing a GraphQL API using Hot Chocolate 13,,"```json
{
  ""category"": ""Web Development"",
  ""reasoning"": ""This is a starter template for building GraphQL APIs using ASP.NET Core and Hot Chocolate 13, which is specifically designed for web service development. The project includes authentication, database integration, error handling, and testing - all core components of web API development. While it uses GraphQL (which could relate to data management), the primary focus is on creating web services with proper web development patterns like middleware, routing, and API structure."",
  ""confidence"": ""5""
}
```"
https://github.com/approvals/ApprovalTests.Net.StarterProject,Starter Vs2017 project with MsTest & ApprovalTests,,"```json
{
  ""category"": ""Regular Project"",
  ""reasoning"": ""This is a starter project template for Visual Studio 2017 that provides a basic structure with MsTest and ApprovalTests configured. It serves as a general-purpose scaffold for organizing test-driven development projects following .NET best practices, rather than targeting any specific application domain like web development, machine learning, or automation."",
  ""confidence"": ""4""
}
```"
https://github.com/dscdut/dotnet-boilerplate,,,"```json
{
  ""category"": ""Web Development"",
  ""reasoning"": ""This is an ASP.NET Core Web API boilerplate that provides a starter kit for building web-based APIs and services. It includes web-specific technologies like JWT authentication, Swagger documentation, RESTful controllers, and follows Clean Architecture patterns specifically tailored for web application development. The template defines the core structure for web services including routing, authentication, database configuration, and API documentation."",
  ""confidence"": ""5""
}
```"
https://github.com/jaen003/csharp-ddd-api-skeleton,Clean architecture + SOLID principles + DDD  in C#,backend-api; clean-architecture; domain-driven-design; microservices-architecture; solid-principles; testing,"```json
{
  ""category"": ""Web Development"",
  ""reasoning"": ""This is a backend API template implementing clean architecture, DDD, and SOLID principles for building microservices. It provides a structured foundation for web-based systems with features like REST API endpoints, database integration (PostgreSQL), event-driven communication (RabbitMQ), and API documentation (Swagger). While it incorporates DevOps elements like Docker and CI/CD, its primary focus is on creating scalable web services and APIs following modern software architecture patterns."",
  ""confidence"": ""5""
}
```"
https://github.com/GuildedThorn/AspReactTemplate-Dotnet9,"My asp.net + react template fot dotnet 9, different method since the official react + dotnet template was removed by microsoft",,"```json
{
  ""category"": ""Web Development"",
  ""reasoning"": ""This is a starter template specifically designed for building web applications using ASP.NET (backend framework) and React (frontend framework) with .NET 9. The combination of ASP.NET for server-side logic and React for client-side interfaces clearly positions this as a full-stack web development template that provides the foundational structure for creating web-based systems and APIs."",
  ""confidence"": ""5""
}
```"
https://github.com/juleswhi/ssd-coursework-template,A starter template for SSD Coursework. Windows forms with Asciidoc,,"```json
{
  ""category"": ""Education"",
  ""reasoning"": ""This is a starter template specifically designed for university coursework in a Software Systems course. It provides a standardized structure for students to complete academic assignments using Windows Forms and Asciidoc, with clear setup instructions and guidance for academic projects. The template focuses on promoting reproducibility, ease of learning, and providing a scaffold for educational assignments rather than being a general-purpose software project."",
  ""confidence"": ""5""
}
```"
